Time (min),Value (pA)
7.363333,3.179751
7.365,3.17437
7.366667,3.169198
7.368333,3.165408
7.37,3.164486
7.371667,3.16381
7.373333,3.164716
7.375,3.165633
7.376667,3.16798
7.378333,3.17247
7.38,3.176095
7.381667,3.179334
7.383333,3.183937
7.385,3.190753
7.386667,3.198929
7.388333,3.209103
7.39,3.221452
7.391667,3.234993
7.393333,3.250287
7.395,3.2657
7.396667,3.278883
7.398333,3.28975
7.4,3.299639
7.401667,3.305245
7.403333,3.30651
7.405,3.30485
7.406667,3.300449
7.408333,3.29432
7.41,3.286808
7.411667,3.276792
7.413333,3.264569
7.415,3.254016
7.416667,3.246062
7.418333,3.237093
7.42,3.22934
7.421667,3.222144
7.423333,3.218413
7.425,3.216153
7.426667,3.212729
7.428333,3.208103
7.43,3.204061
7.431667,3.201701
7.433333,3.201213
7.435,3.201415
7.436667,3.201665
7.438333,3.20267
7.44,3.205794
7.441667,3.207762
7.443333,3.206772
7.445,3.205627
7.446667,3.20376
7.448333,3.199903
7.45,3.195565
7.451667,3.192034
7.453333,3.188759
7.455,3.186917
7.456667,3.184579
7.458333,3.18276
7.46,3.181273
7.461667,3.180393
7.463333,3.17763
7.465,3.174139
7.466667,3.170342
7.468333,3.167632
7.47,3.163838
7.471667,3.15966
7.473333,3.155557
7.475,3.151908
7.476667,3.149377
7.478333,3.146755
7.48,3.144812
7.481667,3.143837
7.483333,3.143552
7.485,3.144518
7.486667,3.144489
7.488333,3.145845
7.49,3.147316
7.491667,3.148217
7.493333,3.149517
7.495,3.152021
7.496667,3.154449
7.498333,3.155417
7.5,3.156834
7.501667,3.158378
7.503333,3.159378
7.505,3.160301
7.506667,3.160926
7.508333,3.162297
7.51,3.164085
7.511667,3.168288
7.513333,3.172745
7.515,3.176922
7.516667,3.181825
7.518333,3.188504
7.52,3.196044
7.521667,3.203353
7.523333,3.211026
7.525,3.217218
7.526667,3.22223
7.528333,3.226428
7.53,3.22737
7.531667,3.225837
7.533333,3.222344
7.535,3.217722
7.536667,3.211657
7.538333,3.204932
7.54,3.197722
7.541667,3.190492
7.543333,3.184551
7.545,3.179305
7.546667,3.174411
7.548333,3.171004
7.55,3.167475
7.551667,3.162607
7.553333,3.158015
7.555,3.153007
7.556667,3.14794
7.558333,3.145118
7.56,3.141887
7.561667,3.139924
7.563333,3.139064
7.565,3.138564
7.566667,3.138104
7.568333,3.137823
7.57,3.137296
7.571667,3.136766
7.573333,3.136982
7.575,3.138344
7.576667,3.138157
7.578333,3.139717
7.58,3.140399
7.581667,3.140373
7.583333,3.141309
7.585,3.142811
7.586667,3.142659
7.588333,3.142163
7.59,3.141305
7.591667,3.139865
7.593333,3.138644
7.595,3.138201
7.596667,3.137263
7.598333,3.136228
7.6,3.136493
7.601667,3.13692
7.603333,3.13563
7.605,3.132613
7.606667,3.131797
7.608333,3.132061
7.61,3.134622
7.611667,3.139411
7.613333,3.145467
7.615,3.153411
7.616667,3.164322
7.618333,3.178689
7.62,3.19446
7.621667,3.210936
7.623333,3.231948
7.625,3.252663
7.626667,3.272192
7.628333,3.290041
7.63,3.304575
7.631667,3.315934
7.633333,3.32351
7.635,3.327839
7.636667,3.329732
7.638333,3.327674
7.64,3.324468
7.641667,3.317754
7.643333,3.30783
7.645,3.297207
7.646667,3.285637
7.648333,3.274362
7.65,3.262882
7.651667,3.251482
7.653333,3.242602
7.655,3.233548
7.656667,3.225976
7.658333,3.218687
7.66,3.211801
7.661667,3.206485
7.663333,3.200204
7.665,3.194699
7.666667,3.188899
7.668333,3.18283
7.67,3.177692
7.671667,3.173897
7.673333,3.170497
7.675,3.166717
7.676667,3.163445
7.678333,3.161834
7.68,3.161084
7.681667,3.159226
7.683333,3.156718
7.685,3.153484
7.686667,3.151845
7.688333,3.152647
7.69,3.151184
7.691667,3.149048
7.693333,3.146356
7.695,3.145848
7.696667,3.14554
7.698333,3.14212
7.7,3.139072
7.701667,3.137531
7.703333,3.137352
7.705,3.138727
7.706667,3.137676
7.708333,3.137207
7.71,3.137326
7.711667,3.137926
7.713333,3.136752
7.715,3.135376
7.716667,3.134458
7.718333,3.135679
